tree_ID,year,treatment,assessment,block,family,class,compound,mass_type,mass
1139,2019,EMF,pre_rust,1,ENDO-158,diterpene,sandaracopiramic,dw,3.36
1139,2019,EMF,pre_rust,1,ENDO-158,diterpene,neoabietic,dw,0.347
1139,2019,EMF,pre_rust,1,ENDO-158,diterpene,palustric,dw,2.215
1139,2019,EMF,pre_rust,1,ENDO-158,diterpene,abietic,dw,1.273
1143,2019,EMF,pre_rust,1,ENDO-159,diterpene,dehydroabietic,dw,0.304
1143,2019,EMF,pre_rust,1,ENDO-159,diterpene,levopiramic,dw,13.846
1143,2019,EMF,pre_rust,1,ENDO-159,diterpene,sandaracopiramic,dw,3.535
1143,2019,EMF,pre_rust,1,ENDO-159,diterpene,neoabietic,dw,0.245
1143,2019,EMF,pre_rust,1,ENDO-159,diterpene,palustric,dw,1.31
1143,2019,EMF,pre_rust,1,ENDO-159,diterpene,abietic,dw,2.172
1145,2019,EMF,pre_rust,1,ENDO-159,diterpene,dehydroabietic,dw,0.372
