tree_ID,inoc_dens,ht6,dm6,sv6,alive6,vig6,ht5,dm5,sv5,vig5,bi5,nc5,pbr5,br5,ss5,dm4,sv4,ss4,dm3,sv3,vig3,bi3,nc3,pbr3,br3,ss3,ht1
1345,3400,NA,9,9,NA,NA,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.6
1346,3400,38,4,8,Yes,1,31,4,7,1,4,6,0,0,6,4,7,6,4,4,1,3,4,0,0,4,15.5
1347,3400,NA,4,9,No,3,18.7,4,8,1,4,5,0,0,5,4,7,5,4,5,1,3,3,0,0,3,10.9
1348,3400,34.5,4,8,Yes,1,27.6,4,8,1,5,6,0,0,6,4,7,6,4,4,1,6,6,0,0,6,16.5
1349,3400,NA,4,9,No,3,19.5,4,8,1,14,17,0,0,17,4,8,15,4,7,1,11,15,0,0,15,13
1350,3400,24.5,0,0,Yes,1,15.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.4
1351,3400,NA,4,9,No,3,13.9,4,6,1,2,2,0,0,2,4,5,2,4,3,1,1,1,0,0,1,10.1
1352,3400,28.5,0,0,Yes,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
1353,3400,41,4,8,Yes,1,26.7,4,7,1,5,6,0,0,6,4,7,6,4,3,1,2,2,0,0,2,13.6
1354,4280,NA,4,9,No,3,30.5,4,7,1,7,7,0,0,7,4,6,7,4,5,1,6,7,0,0,7,13.6
1355,4280,NA,4,9,No,3,22,4,7,1,7,7,0,0,7,4,6,7,4,2,1,1,1,0,0,1,13.6
1356,4280,58,4,8,Yes,1,31,4,7,1,6,6,0,0,6,4,7,6,4,2,1,2,2,0,0,2,14.6
1357,4280,38,4,8,Yes,2,27.3,4,6,1,2,2,0,0,2,4,5,1,0,0,1,0,0,0,0,0,10
1358,4280,44,4,8,Yes,1,30.5,4,7,1,3,5,0,0,5,4,7,5,4,4,1,3,3,0,0,3,14.5
1359,4280,NA,4,9,No,3,29.5,4,8,1,7,9,0,0,9,4,7,9,4,2,1,2,4,0,0,4,16.9
1360,4280,NA,4,9,No,3,29,4,5,1,2,2,2,0,4,0,0,0,0,0,1,0,0,0,0,0,13
1361,4280,NA,4,9,No,3,37.5,4,8,2,10,10,0,0,10,4,7,10,4,5,1,7,10,0,0,10,22.7
1362,4280,NA,4,9,No,3,31,4,8,2,9,9,0,0,9,4,8,9,4,6,1,8,8,0,0,8,23.6
1363,4280,9.5,0,0,Yes,2,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.8
1364,4280,42,0,0,Yes,1,26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.3
1365,4280,45,0,0,Yes,1,19.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.2
1366,4280,69,0,0,Yes,1,30.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.9
